,name,clouds,country,dt,humidity,lat,lon,temp_max,speed
0,Butaritari,100,KI,1600903141,72,3.07,172.79,82.81,14.16
1,Rikitea,16,PF,1600902864,72,-23.12,-134.97,72.86,11.01
2,George Town,40,MY,1600903012,94,5.41,100.34,77.0,5.82
3,Kandrian,0,PG,1600903146,71,-6.22,149.55,83.08,4.92
4,Castro,19,BR,1600903147,92,-24.79,-50.01,56.1,6.73
5,Nikolskoye,35,RU,1600903148,82,59.7,30.79,60.01,4.47
6,Provideniya,71,RU,1600903149,70,64.38,-173.3,42.8,4.47
7,Bluff,81,NZ,1600903151,69,-46.6,168.33,57.0,7.0
8,East London,5,ZA,1600903152,56,-33.02,27.91,66.79,1.19
9,Amahai,59,ID,1600903153,74,-3.33,128.92,79.68,1.99
10,St. George's,20,GD,1600903154,79,12.06,-61.75,86.0,11.41
11,Saint Paul Harbor,90,US,1600903156,87,57.79,-152.41,53.6,9.17
12,Carnarvon,75,AU,1600903015,93,-24.87,113.63,66.2,4.7
13,Ushuaia,75,AR,1600903158,81,-54.8,-68.3,50.0,20.8
14,Busselton,0,AU,1600902998,51,-33.65,115.33,55.99,15.14
15,Mataura,67,NZ,1600903161,69,-46.19,168.86,57.0,7.0
16,Touros,20,BR,1600903163,83,-5.2,-35.46,77.0,9.17
17,Dolores,64,AR,1600903164,81,-36.31,-57.68,52.97,7.27
18,Paamiut,97,GL,1600903166,74,61.99,-49.67,38.14,6.06
19,Behshahr,0,IR,1600903167,64,36.69,53.55,69.55,8.25
20,Puerto Ayora,100,EC,1600903011,85,-0.74,-90.35,68.0,5.99
21,Cayenne,99,GF,1600903170,78,4.93,-52.33,82.4,3.36
22,Barrow,90,US,1600903171,59,71.29,-156.79,33.8,9.17
23,Merauke,65,ID,1600902897,75,-8.47,140.33,80.31,10.94
24,Ust-Kuyga,61,RU,1600903173,67,70.02,135.6,41.68,5.06
25,Alofi,75,NU,1600903175,74,-19.06,-169.92,78.8,10.29
26,Katsuura,75,JP,1600902969,94,35.13,140.3,68.0,17.22
27,Kapit,100,MY,1600903019,94,2.02,112.93,73.51,1.39
28,Hermanus,0,ZA,1600903178,88,-34.42,19.23,52.0,6.17
29,Cabo San Lucas,20,MX,1600902975,62,22.89,-109.91,91.0,18.34
30,Hervey Bay,98,AU,1600903180,72,-25.3,152.85,71.01,5.99
31,Avera,1,US,1600903182,78,33.19,-82.53,71.6,2.59
32,Tilichiki,0,RU,1600903183,63,60.47,166.1,42.12,7.9
33,Airai,0,TL,1600903184,43,-8.93,125.41,67.68,3.83
34,Seoul,90,KR,1600903010,63,37.57,126.98,64.4,6.8
35,Hong Kong,72,HK,1600903043,85,22.29,114.16,82.0,1.99
36,Morondava,0,MG,1600903188,58,-20.28,44.28,73.83,9.62
37,Upernavik,99,GL,1600903189,92,72.79,-56.15,26.89,7.4
38,Cockburn Town,40,TC,1600903044,74,21.46,-71.14,82.4,5.82
39,Xapuri,39,BR,1600903191,52,-10.65,-68.5,89.6,3.36
40,Fengxian,6,CN,1600903192,87,34.7,116.59,63.97,1.34
41,Arraial do Cabo,75,BR,1600903001,94,-22.97,-42.03,68.0,14.18
42,Broken Hill,40,AU,1600903195,66,-31.95,141.43,50.0,4.38
43,Tuatapere,71,NZ,1600902912,69,-46.13,167.68,57.0,7.0
44,Tahoua,1,NE,1600903198,35,14.89,5.27,90.54,6.24
45,Port-Gentil,40,GA,1600903200,88,-0.72,8.78,77.0,12.08
46,Samarai,84,PG,1600903201,86,-10.62,150.67,78.49,14.61
47,Brenham,90,US,1600902994,74,30.17,-96.4,78.8,9.17
48,Faanui,3,PF,1600903204,79,-16.48,-151.75,79.12,17.22
49,Hithadhoo,100,MV,1600903206,61,-0.6,73.08,81.84,4.18
50,Saint-Joseph,0,RE,1600903207,55,-21.37,55.62,64.4,8.05
51,Port Lincoln,85,AU,1600903208,66,-34.73,135.87,53.38,17.29
52,Saldanha,0,ZA,1600903209,76,-33.01,17.94,50.0,3.36
53,Yellowknife,75,CA,1600903211,62,62.46,-114.35,57.2,10.29
54,Sungai Raya,93,ID,1600903018,88,0.7,108.9,77.74,5.41
55,Punta Arenas,75,CL,1600903213,57,-53.15,-70.92,50.0,35.57
56,Corredor,75,CR,1600903214,83,8.64,-82.95,78.8,2.24
57,Pisco,40,PE,1600903216,72,-13.7,-76.22,66.2,9.17
58,Esperance,0,AU,1600902934,100,-33.87,121.9,42.8,5.82
59,Bonavista,55,CA,1600903218,86,48.65,-53.11,61.59,24.49
60,Taltal,83,CL,1600902933,80,-25.4,-70.48,56.41,1.45
61,Ahipara,88,NZ,1600903220,75,-35.17,173.17,63.7,15.48
62,Tezu,100,IN,1600903222,87,27.92,96.17,73.38,3.96
63,Havre-St-Pierre,90,CA,1600903223,87,50.23,-63.6,50.0,10.29
64,Siverek,0,TR,1600903224,56,37.76,39.32,71.6,8.05
65,Rio Grande,99,BR,1600903225,80,-32.03,-52.1,60.44,6.51
66,Kaitangata,88,NZ,1600903227,55,-46.28,169.85,57.22,6.35
67,Souillac,40,MU,1600903052,82,-20.52,57.52,66.2,6.8
68,Gloversville,1,US,1600903229,63,43.05,-74.34,66.0,9.17
69,Albany,13,US,1600903203,51,42.6,-73.97,72.0,7.56
70,Geraldton,94,AU,1600903231,18,-28.77,114.6,71.6,17.22
71,Saint-François,93,FR,1600903233,72,46.42,3.91,66.2,11.41
72,Vaini,40,TO,1600903234,78,-21.2,-175.2,77.0,10.29
73,Norman Wells,75,CA,1600903235,47,65.28,-126.83,57.2,10.29
74,Orlik,63,RU,1600903236,70,52.52,99.83,40.57,5.19
75,Mount Gambier,90,AU,1600903238,93,-37.83,140.77,44.6,10.29
76,Mazagão,20,BR,1600903239,70,-0.12,-51.29,86.0,11.41
77,Māngrol,99,IN,1600903240,89,21.12,70.12,80.98,11.14
